Key,Name,Disaster,Date,Cost,Deaths
280,South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-13,1862.4,0
281,Central Severe Weather (May 2019),Severe Storm,2019-05-18,1196.9,0
282,Arkansas River Flooding (June 2019),Flooding,2019-06-14,3720.8,5
283,"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,2019-05-29,5655.6,3
284,California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019-11-30,5535,3
285,Colorado Hail Storms (July 2019),Severe Storm,2019-07-05,1229.8,0
286,Hurricane Dorian (September 2019),Tropical Cyclone,2019-09-06,1964.2,10
287,Tropical Storm Imelda (September 2019),Tropical Cyclone,2019-09-21,6100,5
288,Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019-10-20,2095.9,2
289,Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-12,1401.8,10
290,"South, East and Northeast Severe Weather (February 2020)",Severe Storm,2020-02-07,1520.1,3
291,Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2020-03-04,2850,25
292,Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2020-03-28,3120.9,0
293,North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,2020-04-08,3514.8,0
294,Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-13,4201.9,35
295,Southern Severe Weather (April 2020),Severe Storm,2020-04-23,1647,3
296,"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,2020-04-30,1252.9,1
297,Central and Eastern Severe Weather (May 2020),Severe Storm,2020-05-05,2577.9,2
298,"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,2020-05-23,1932.6,2
299,South Texas Hail Storms (May 2020),Severe Storm,2020-05-27,1708,0
300,Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,2020-12-30,5439.1,45
301,Central Severe Weather (July 2020),Severe Storm,2020-07-11,1447.4,0
302,Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-26,1300.8,0
303,"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,2020-12-30,19904.5,46
304,Hurricane Isaias (August 2020),Tropical Cyclone,2020-08-04,5756.1,16
305,Central Severe Weather - Derecho (August 2020),Severe Storm,2020-08-10,13342.7,4
306,Hurricane Laura (August 2020),Tropical Cyclone,2020-08-28,28090.3,42
307,Hurricane Sally (September 2020),Tropical Cyclone,2020-09-17,8801.5,5
308,Hurricane Delta (October 2020),Tropical Cyclone,2020-10-11,3469.3,5
309,Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-29,5266,6
310,Tropical Storm Eta (November 2020),Tropical Cyclone,2020-11-12,1766.7,12
311,Western Drought and Heat Wave (2021),Drought,2021-12-31,10117.2,229
312,California Flooding and Severe Weather (January 2021),Flooding,2021-01-29,1314,2
313,"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,2021-02-19,26996.7,262
314,Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021-03-25,1995.8,6
315,Eastern Severe Weather (March 2021),Severe Storm,2021-03-28,1601.9,8
316,Texas Hail Storms (April 2021),Severe Storm,2021-04-15,1755.3,0
317,Texas and Oklahoma Severe Weather (April 2021),Severe Storm,2021-04-28,3747.4,0
318,Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021-05-04,1479.1,4
319,Louisiana Flooding (May 2021),Flooding,2021-05-18,1569.6,5
320,Western Wildfires (2021),Wildfire,2021-12-31,12064,8
321,Ohio Valley Hail Storms (June 2021),Severe Storm,2021-06-18,1980.1,0
322,Central Severe Storms (June 2021),Severe Storm,2021-06-26,1453.6,0
323,Tropical Storm Elsa (July 2021),Tropical Cyclone,2021-07-09,1395.3,1
324,Central Severe Storms (July 2021),Severe Storm,2021-07-11,1242.2,0
325,North Central Severe Weather (August 2021),Severe Storm,2021-08-13,1476.9,2
326,Tropical Storm Fred (August 2021),Tropical Cyclone,2021-08-18,1468.9,7
327,Hurricane Ida (August 2021),Tropical Cyclone,2021-09-01,84608.1,96
328,Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-18,1168.5,0
329,"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,2021-12-10,4424.1,93
330,Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,2021-12-15,2013.8,1
331,Western/Central Drought and Heat Wave (2022),Drought,2022-12-31,23480.6,136
332,Texas Hail Storms (February 2022),Severe Storm,2022-02-22,1118.9,0
333,Southern Tornado Outbreak (March 2022),Severe Storm,2022-03-30,1369.4,2
334,Western Wildfires (Spring-Fall 2022),Wildfire,2022-11-30,3296.6,17
335,Southeast Tornado Outbreak (April 2022),Severe Storm,2022-04-06,1544.8,3
336,Southern Severe Weather (April 2022),Severe Storm,2022-04-13,2915.7,1
337,Southern and Central Severe Weather (May 2022),Severe Storm,2022-05-03,1218.9,1
338,North Central Hail Storms (May 2022),Severe Storm,2022-05-09,2354.4,0
339,North Central Severe Weather (May 2022),Severe Storm,2022-05-12,2949.6,1
340,North Central Hail Storms (May 2022),Severe Storm,2022-05-19,2601.4,0
341,Central Severe Weather (June 2022),Severe Storm,2022-06-08,2025.7,0
342,Central Derecho (June 2022),Severe Storm,2022-06-13,3386.6,1
343,North Central and Eastern Severe Weather (July 2022),Severe Storm,2022-07-24,1420.4,1
344,Kentucky and Missouri Flooding (July 2022),Flooding,2022-07-28,1552.9,42
345,Hurricane Fiona (September 2022),Tropical Cyclone,2022-09-18,2660.6,25
346,Hurricane Ian (September 2022),Tropical Cyclone,2022-09-30,118508,152
347,Hurricane Nicole (November 2022),Tropical Cyclone,2022-11-11,1071,5
348,Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,2022-12-26,8868.1,87
349,California Flooding (December 2022 - March 2023),Flooding,2023-03-19,4725,22
350,Northeastern Winter Storm/Cold Wave (February 2023),Winter Storm,2023-02-05,1821.1,1
351,Southern and Eastern Severe Weather (March 2023),Severe Storm,2023-03-03,6111.1,13
352,Southern and Eastern Severe Weather (April 2023),Severe Storm,2023-03-26,2927.6,23
353,Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,2023-04-01,5853.2,33
354,Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,2023-09-30,14786.7,247
355,Central and Eastern Severe Weather (April 2023),Severe Storm,2023-04-06,2927.6,5
356,Fort Lauderdale Flash Flood (April 2023),Flooding,2023-04-13,1133,0
